"scenario","scenalpha","mag1","mag2","mag3","mag4","mag5","ef3_2","ef3_3","ef3_4","ef3_5","maska","maskb","siI","siI1","ramp","t1","t2","t3","t4","t5","t6","t7","t8","pS","pS2","pS3","pID","lambda","beta","hosp","cc","hosp2","cc2","hosp3","cc3","time","S","E","I","Ih","Ic","A","R","Rh","Rc","D","S2","E2","I2","Ih2","Ic2","A2","R2","Rh2","Rc2","D2","S3","E3","I3","Ih3","Ic3","A3","R3","Rh3","Rc3","D3","Id","It","Iht","Ict","Et"
1,"1A",0.8,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.4,0.5,0.3,0.3,0.00407,41,53,63,94,107,125,156,205,0.17886,0.47205,0.78571,0.33,1.65,0.48,0.00419,0.004,0.056,0.019,0.0899,0.035,0,2281248,0,1,0,0,0,0,0,0,0,2332422,0,0,0,0,0,0,0,0,0,1227124,0,0,0,0,0,0,0,0,0,0.33,1,0,0,0
1,"1A",0.8,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.4,0.5,0.3,0.3,0.00407,41,53,63,94,107,125,156,205,0.17886,0.47205,0.78571,0.33,1.65,0.48,0.00419,0.004,0.056,0.019,0.0899,0.035,1,2281247.70364956,0.268811251130539,0.887219139976736,0.000463033383508781,0.00044760350935872,0.0216794862995798,0.117676548153456,3.01569340108155e-05,1.1611284709469e-05,1.1611284709469e-05,2332421.69700169,0.274841348237629,0.0127424931564094,2.97880428224449e-05,1.01702247051704e-05,0.0142514548499657,0.00112183948509156,9.56014518124553e-07,1.3039737483286e-07,1.3039737483286e-07,1227123.84058781,0.144598367968898,0.011158607676969,4.18763898080914e-05,1.64059200757477e-05,0.00304333410431034,0.000551833320385934,1.34397673797531e-06,2.10348244174746e-07,2.10348244174746e-07,0.301678556937617,0.912129118280394,0.00100887747027896,0.000474179654139638,0.688250967337066
1,"1A",0.8,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.4,0.5,0.3,0.3,0.00407,41,53,63,94,107,125,156,205,0.17886,0.47205,0.78571,0.33,1.65,0.48,0.00419,0.004,0.056,0.019,0.0899,0.035,2,2281247.41198892,0.485935406067054,0.795574474894666,0.000821626673900905,0.000804237999631305,0.0770073350566866,0.227670092674209,0.000111414175403411,4.32465607114677e-05,4.32465607114677e-05,2332421.39879839,0.496836131665531,0.045262393508474,0.000210366515054727,7.22746237695813e-05,0.0506223507103037,0.00818048871125456,1.382011534558e-05,1.89434862954711e-06,1.89434862954711e-06,1227123.68369835,0.261393324721655,0.039636300799393,0.000295735783633415,0.000116588545036343,0.0108101753806136,0.00402398588024635,1.94284848069381e-05,3.05583535397722e-06,3.05583535397722e-06,0.292876975977862,0.88279399934356,0.00232083014102628,0.00099310116843723,1.24416486245424
1,"1A",0.8,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.4,0.5,0.3,0.3,0.00407,41,53,63,94,107,125,156,205,0.17886,0.47205,0.78571,0.33,1.65,0.48,0.00419,0.004,0.056,0.019,0.0899,0.035,3,2281247.09971619,0.683441390369671,0.721455822032802,0.001097485077498,0.00108768061566068,0.156857298708705,0.335930375153558,0.000232121809771678,9.08169175967113e-05,9.08169175967112e-05,2332421.07952061,0.698772660670304,0.0921955911550947,0.000634092128534058,0.000219204267747574,0.10311336161494,0.0254631927335494,6.3727718135295e-05,8.7780186861927e-06,8.7780186861927e-06,1227123.51572128,0.36763531747359,0.0807357256243427,0.000891414360688608,0.000353605529984133,0.0220193947436591,0.0125253553476367,8.95891946349348e-05,1.41601072900468e-05,1.41601072900468e-05,0.299431237788152,0.898670620792352,0.00428348198011305,0.00166049041339239,1.74984936851356
1,"1A",0.8,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.4,0.5,0.3,0.3,0.00407,41,53,63,94,107,125,156,205,0.17886,0.47205,0.78571,0.33,1.65,0.48,0.00419,0.004,0.056,0.019,0.0899,0.035,4,2281246.74677294,0.882988225280619,0.662541928160086,0.00130833395717961,0.00131263374283255,0.257145681452312,0.44724509451893,0.000383081010411162,0.000151041108340657,0.000151041108340657,2332420.71865998,0.902795821579009,0.151141823234521,0.00135792631145791,0.000472275454455494,0.169039986392681,0.0562961450016587,0.000184871863311945,2.55869631349963e-05,2.55869631349963e-05,1227123.3258668,0.474975120179504,0.132354970754487,0.00190898918362062,0.000761842887856279,0.0360977290386771,0.0276920976967199,0.000259895094778294,4.12751619893359e-05,4.12751619893359e-05,0.319314779846603,0.953160723686496,0.00712200153740247,0.00254675208514432,2.26075916703913
1,"1A",0.8,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.4,0.5,0.3,0.3,0.00407,41,53,63,94,107,125,156,205,0.17886,0.47205,0.78571,0.33,1.65,0.48,0.00419,0.004,0.056,0.019,0.0899,0.035,5,2281246.33526674,1.10044435904009,0.61739198880227,0.00146890533824868,0.00149151999535621,0.377058445256188,0.565878303067075,0.000557113536861993,0.00022131345106207,0.00022131345106207,2332420.29792268,1.12513003093088,0.221622624809909,0.00242318009287006,0.000847691253956914,0.247867100452052,0.10365316400477,0.000417439140133691,5.80451357632503e-05,5.80451357632503e-05,1227123.10451028,0.591948654264119,0.194075044203572,0.00340653579522097,0.00136743831768607,0.0529309048152415,0.050987035508553,0.000586840977018515,9.36344953748844e-05,9.36344953748844e-05,0.351924857872537,1.04409492860909,0.0110052707933389,0.0037066495669992,2.81752304423509
1,"1A",0.8,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.4,0.5,0.3,0.3,0.00407,41,53,63,94,107,125,156,205,0.17886,0.47205,0.78571,0.33,1.65,0.48,0.00419,0.004,0.056,0.019,0.0899,0.035,6,2281245.84739464,1.34879802772297,0.585202658994882,0.00159165885600266,0.00163505597593514,0.518026535614003,0.696003483201449,0.000748734029484078,0.000299604654269536,0.000299604654269536,2332419.79910641,1.37905488286134,0.304479058852415,0.0038678452110945,0.00136063358814096,0.340535365154395,0.170564043470456,0.000806469432294189,0.000112647297218672,0.000112647297218672,1227122.84207517,0.725542523641238,0.266632465239182,0.00543746343936063,0.00219488227119211,0.072719796077566,0.0839005256077888,0.00113374445297946,0.000181715016972929,0.000181715016972929,0.397671219760264,1.17240172242821,0.016087539341726,0.00519057183526821,3.45339543422556
1,"1A",0.8,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.4,0.5,0.3,0.3,0.00407,41,53,63,94,107,125,156,205,0.17886,0.47205,0.78571,0.33,1.65,0.48,0.00419,0.004,0.056,0.019,0.0899,0.035,7,2281245.26395418,1.64001534539664,0.565671783104117,0.00168732465565391,0.00175268142067582,0.683180340247103,0.842015664812096,0.000953901455356819,0.000384387743605156,0.000384387743605156,2332419.20257795,1.67680492078929,0.401551064905115,0.00573446176779852,0.00202793043692339,0.449102605055938,0.26040573995486,0.00140196827177372,0.000196679163251454,0.000196679163251454,1227122.52823214,0.882193514560673,0.351638469846185,0.00806157550394638,0.0032713205098042,0.0959038420070243,0.128093694362272,0.00197090390252614,0.000317269551697111,0.000317269551697112,0.45775952918709,1.34139661215022,0.0225352942948022,0.00705193236740341,4.1990137807466
1,"1A",0.8,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.4,0.5,0.3,0.3,0.00407,41,53,63,94,107,125,156,205,0.17886,0.47205,0.78571,0.33,1.65,0.48,0.00419,0.004,0.056,0.019,0.0899,0.035,8,2281244.5631472,1.98630515256907,0.55892842686398,0.00176533339965086,0.00185289998340402,0.877099135127186,1.00878285094686,0.00116983083847391,0.000474583057522222,0.000474583057522222,2332418.48605015,2.0308628595249,0.515530191647916,0.00807558096982807,0.00286995987262647,0.576579101113265,0.377135622898175,0.00225983632439081,0.000318349783241754,0.000318349783241754,1227122.15125556,1.06846898015523,0.451450048559626,0.0113527491092672,0.0046296255644161,0.123125874566751,0.185513173484647,0.00317690515576165,0.00051354038395441,0.000513540383954411,0.534096009032795,1.55645481597071,0.0305461488991927,0.00935248542044658,5.08563699224921
1,"1A",0.8,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.4,0.5,0.3,0.3,0.00407,41,53,63,94,107,125,156,205,0.17886,0.47205,0.78571,0.33,1.65,0.48,0.00419,0.004,0.056,0.019,0.0899,0.035,9,2281243.71949718,2.40105854792849,0.565506567562323,0.00183417330615043,0.0019435658127644,1.10575267661731,1.20187340004276,0.00139485369411788,0.000569518764390265,0.000569518764390265,2332417.62347498,2.4549201930156,0.649925266667897,0.0109580301309635,0.00391218125599977,0.72688919507958,0.525502745635061,0.00344339427879728,0.000487008155798818,0.000487008155798818,1227121.69744116,1.2915722313261,0.569139883465322,0.0154049308988933,0.00631086675746122,0.155223919293103,0.258495024332339,0.00484076520036477,0.000785608687309614,0.000785608687309614,0.629272415001761,1.82493546585777,0.0403637481622326,0.0121666138262254,6.14755097227019
