"Frontier","hosp","ue"
"","Objective-Min","Objective-Min"
"true","72009","666.54"
"false","74716","667.72"
"false","74716","667.72"
"false","74716","667.72"
"false","74716","667.72"
"false","74716","667.72"
"false","74716","667.72"
"false","74716","667.72"
"false","74716","667.72"
"false","74716","667.72"
"false","74716","667.72"
"false","74716","667.72"
"false","74716","667.72"
"false","74716","667.72"
"false","74716","667.72"
"false","74716","667.72"
"false","74716","667.72"
"false","74716","667.72"
"false","74716","667.72"
"false","74716","667.72"
"false","74716","667.72"
"false","74716","667.72"
"false","74716","667.72"
"false","74716","667.72"
"false","74716","667.72"
"false","74716","667.72"
"false","74716","667.72"
"false","74716","667.72"
"false","74716","667.72"
"false","74716","667.72"
"false","74716","667.72"
"false","74716","667.72"
"false","74716","667.72"
"false","74716","667.72"
"false","74716","667.72"
"false","74716","667.72"
"false","74716","667.72"
"false","74716","667.72"
"false","74716","667.72"
"false","74716","667.72"
"false","74716","667.72"
"false","74716","667.72"
"false","74716","667.72"
"false","74716","667.72"
"false","74716","667.72"
"false","74716","667.72"
"false","74716","667.72"
"false","74716","667.72"
"false","74716","667.72"
"false","74716","667.72"
"false","74716","667.72"
"false","74716","667.72"
"false","74716","667.72"
"false","74716","667.72"
"false","74716","667.72"
"false","74716","667.72"
"false","74716","667.72"
"false","74716","667.72"
"false","74716","667.72"
"false","74716","667.72"
"false","74716","667.72"
"false","74716","667.72"
"false","74716","667.72"
"false","74716","667.72"
"false","74716","667.72"
"false","74716","667.72"
"false","74716","667.72"
"false","75693","667.54"
"false","75693","667.54"
"false","75693","667.54"
"false","75693","667.54"
"false","75693","667.54"
"true","80427","665.84"
"true","80427","665.84"
"true","80427","665.84"
"true","80427","665.84"
"true","80427","665.84"
"true","80427","665.84"
"true","80427","665.84"
"true","80427","665.84"
"true","82432","665.77"
"true","82432","665.77"
"true","82432","665.77"
"true","82432","665.77"
"true","82432","665.77"
"true","82432","665.77"
"true","82432","665.77"
"true","82432","665.77"
"true","82432","665.77"
"true","82432","665.77"
"true","82432","665.77"
"true","82432","665.77"
"true","82432","665.77"
"true","82432","665.77"
"true","82432","665.77"
"true","82432","665.77"
"true","82432","665.77"
"true","82432","665.77"
"true","82432","665.77"
"true","82432","665.77"
"true","82432","665.77"
"true","82432","665.77"
"true","82432","665.77"
"true","82432","665.77"
"true","82432","665.77"
"true","82432","665.77"
"true","82432","665.77"
"true","82432","665.77"
"true","82432","665.77"
"true","82432","665.77"
"true","82432","665.77"
"true","82432","665.77"
"true","82432","665.77"
"true","82432","665.77"
"true","82432","665.77"
"true","82432","665.77"
"true","82432","665.77"
"true","82432","665.77"
"true","82432","665.77"
"true","84526","664.88"
"true","84526","664.88"
"true","84526","664.88"
"true","84526","664.88"
"true","84526","664.88"
"true","84526","664.88"
"true","84526","664.88"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","89087","663.09"
"true","89087","663.09"
"true","89087","663.09"
"true","89087","663.09"
"true","89087","663.09"
"true","89087","663.09"
"true","89087","663.09"
"true","89087","663.09"
"true","89087","663.09"
"true","89087","663.09"
"true","89087","663.09"
"true","89087","663.09"
"true","89087","663.09"
"true","89087","663.09"
"true","89087","663.09"
"true","89087","663.09"
"true","89087","663.09"
"true","89087","663.09"
"true","89087","663.09"
"true","89087","663.09"
"true","89087","663.09"
"true","89087","663.09"
"true","89087","663.09"
"true","89087","663.09"
"true","89087","663.09"
"true","89087","663.09"
"true","89087","663.09"
"true","89087","663.09"
"true","89087","663.09"
"true","89087","663.09"
"true","89087","663.09"
