"Frontier","hosp","ue"
"","Objective-Min","Objective-Min"
"true","72009","666.54"
"true","80427","665.84"
"true","80427","665.84"
"true","80427","665.84"
"true","80427","665.84"
"true","80427","665.84"
"true","80427","665.84"
"true","80427","665.84"
"true","80427","665.84"
"true","82432","665.77"
"true","82432","665.77"
"true","82432","665.77"
"true","82432","665.77"
"true","82432","665.77"
"true","82432","665.77"
"true","82432","665.77"
"true","82432","665.77"
"true","82432","665.77"
"true","82432","665.77"
"true","82432","665.77"
"true","82432","665.77"
"true","82432","665.77"
"true","82432","665.77"
"true","82432","665.77"
"true","82432","665.77"
"true","82432","665.77"
"true","82432","665.77"
"true","82432","665.77"
"true","82432","665.77"
"true","82432","665.77"
"true","82432","665.77"
"true","82432","665.77"
"true","82432","665.77"
"true","82432","665.77"
"true","82432","665.77"
"true","82432","665.77"
"true","82432","665.77"
"true","82432","665.77"
"true","82432","665.77"
"true","82432","665.77"
"true","82432","665.77"
"true","82432","665.77"
"true","82432","665.77"
"true","82432","665.77"
"true","82432","665.77"
"true","82432","665.77"
"true","82432","665.77"
"true","82432","665.77"
"true","84526","664.88"
"true","84526","664.88"
"true","84526","664.88"
"true","84526","664.88"
"true","84526","664.88"
"true","84526","664.88"
"true","84526","664.88"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","85320","664.08"
"true","89087","663.09"
"true","89087","663.09"
"true","89087","663.09"
"true","89087","663.09"
"true","89087","663.09"
"true","89087","663.09"
"true","89087","663.09"
"true","89087","663.09"
"true","89087","663.09"
"true","89087","663.09"
"true","89087","663.09"
"true","89087","663.09"
"true","89087","663.09"
"true","89087","663.09"
"true","89087","663.09"
"true","89087","663.09"
"true","89087","663.09"
"true","89087","663.09"
"true","89087","663.09"
"true","89087","663.09"
"true","89087","663.09"
"true","89087","663.09"
"true","89087","663.09"
"true","89087","663.09"
"true","89087","663.09"
"true","89087","663.09"
"true","89087","663.09"
"true","89087","663.09"
"true","89087","663.09"
"true","89087","663.09"
"true","89087","663.09"
"true","89087","663.09"
"true","89087","663.09"
"true","89087","663.09"
"true","89087","663.09"
"true","89087","663.09"
"true","89087","663.09"
"true","89087","663.09"
"true","89087","663.09"
"true","89087","663.09"
"true","89087","663.09"
"true","89087","663.09"
"true","89087","663.09"
"true","89087","663.09"
"true","89087","663.09"
"true","89087","663.09"
"true","89087","663.09"
"true","89087","663.09"
"true","89087","663.09"
"true","89087","663.09"
"true","89087","663.09"
"true","89087","663.09"
"true","89087","663.09"
"true","89087","663.09"
"true","89087","663.09"
"true","89087","663.09"
"true","89087","663.09"
"true","89087","663.09"
"true","93008","592.15"
"true","93008","592.15"
"true","93008","592.15"
"true","93116","571.84"
"true","94089","568.39"
"true","94089","568.39"
"true","94089","568.39"
"true","94089","568.39"
"true","100330","568.27"
"true","100330","568.27"
"true","100330","568.27"
"true","100330","568.27"
"true","101496","564.82"
"true","101496","564.82"
"true","103307","563.59"
"true","103307","563.59"
"true","103307","563.59"
"true","103307","563.59"
"true","106923","530.64"
"true","109642","521.76"
"true","119104","521.73"
"true","123044","506.02"
"true","123044","506.02"
"true","142520","500.65"
"true","149518","499.5"
"true","149775","489.1"
"true","149775","489.1"
"true","159383","486.42"
"true","159383","486.42"
"true","165638","481.42"
"true","169843","475.27"
"true","176618","474.9"
"true","180542","474.35"
"true","185651","473.36"
"true","185651","473.36"
"true","193743","462.89"
"true","203469","462.25"
"true","204484","460.3"
"true","208468","459.81"
"true","209012","456.69"
"true","213065","455.5"
"true","216366","455.22"
"true","219846","454.05"
"true","220384","451.11"
